Article Title,Author Keywords,Publication Year
Peri-implant radiographic bone level and associated factors in Spain,dental implants; peri-implant bone level; peri-implantitis; prevalence; radiographic bone level,
Do psychological factors predict changes in oral health-related quality of life and clinical status after periodontal treatment?,OHRQoL; periodontitis; psychological factors; treatment,
Assessment of reference areas for superimposition of serial 3D models of patients with advanced periodontitis for volumetric soft tissue evaluation,3D model; accuracy; periodontal disease; superimposition; volumetric evaluation,
Parafunctional masseter muscle activity during waking is related to periodontitis progression: A pilot prospective cohort study,cohort studies; disease progression; masseter muscle; periodontitis,
"Gene expression profiles of oral soft tissue-derived fibroblast from healing wounds: correlation with clinical outcome, autophagy activation and fibrotic markers expression",gene expression profiling; gingiva; human biopsy; palate; wound healing,
"Biomarker levels in peri-implant crevicular fluid of healthy implants, untreated and non-surgically treated implants with peri-implantitis",biomarkers; crevicular fluid; multiplex immunoassay; non-surgical treatment; peri-implantitis,
Association between periodontitis and severity of COVID-19 infection: A case-control study,Covid-19; death; ICU admissions; periodontitis; ventilation,
Probing single-tooth dental implants with and without prostheses: a cross-sectional study comparing healthy and peri-implant mucositis sites,diagnosis; implant-supported dental prosthesis; peri-implantitis; probing; single-tooth dental implant,
Healing of buccal gingival recessions following treatment with coronally advanced flap alone or combined with a cross-linked hyaluronic acid gel. An experimental study in dogs,coronally advanced flap; gingival recession; histological investigation; hyaluronic acid; periodontal regeneration; root coverage,
Guest Editorial: Time to reflect on new evidence about periodontal regenerative surgery of intrabony defects,periodontitis; regeneration,
Periodontal diseases and depression: A pre-clinical in vivo study,animal model; depression; Fusobacterium nucleatum; inflammation; periodontitis,
Response to LETTER Laser parameters in systematic reviews by Dr. Carla DAMANTE,,
Impact of the coronavirus disease 2019 pandemic on periodontal practice: A questionnaire survey,coronavirus infection; COVID-19 pandemic; epidemiology; periodontal medicine; periodontics,
Ultrasonographic tissue perfusion analysis at implant and palatal donor sites following soft tissue augmentation: A clinical pilot study,blood supply; blood-flow circulation; blood-flow velocity; connective tissue graft; dental implant; soft tissue augmentation; ultrasonography,
Prolonged multimodal fasting modulates periodontal inflammation in female patients with metabolic syndrome: A prospective cohort study,bleeding on probing; C-reactive protein; fasting; gingival crevicular fluid; metabolic syndrome; periodontal inflammation,
Laser parameters in systematic reviews Reply,,
Pre-clinical evaluation of the effect of a volume-stable collagen matrix on periodontal regeneration in two-wall intrabony defects,biomaterial; histology; intrabony defect; periodontal regeneration; volume--stable collagen matrix,
Laser parameters in systematic reviews,,
Oxidative stress links periodontal inflammation and renal function,chronic kidney disease; inflammation; oxidative stress; periodontitis; structural equation modelling,2021
"Late complications after root coverage with two types of subepithelial connective tissue grafts, clinical and histopathological evaluation: A prospective cohort study",aesthetics; Gingival Recession; mucogingival; root coverage; treatment; therapy,2021
SLPI in periodontal Ligament is not sleepy during biophysical force-induced tooth movement,alveolar bone; biophysical force; PDL; SLPI; tooth movement,
Prevalence and risk/protective indicators of buccal soft tissue dehiscence around dental implants,abutment; aesthetics; biological complications; biotype; cross-sectional studies; dental implants; dental prosthesis; epidemiology; implant failure; malposition; peri-implant recessions; PISTD; risk factors; soft tissue deficiencies; vestibular,2021
"Clinical, inflammatory and microbiological outcomes of full-mouth scaling with adjunctive glycine powder air-polishing: A randomized trial",cytokines; bacteria; full-mouth scaling; glycine powder air-polishing; periodontitis,2021
Medium- and long-term clinical benefits of periodontal regenerative/reconstructive procedures in intrabony defects: Systematic review and network meta-analysis of randomized controlled clinical studies,bone grafts; bone substitutes; EMD; enamel matrix proteins; GTR; long-term; periodontal regeneration; systematic review,2021
Association between periodontitis and fibrotic progression of non-alcoholic fatty liver among Japanese adults,fatty liver; liver fibrosis; obesity; periodontitis,2021
Is ridge preservation effective in the extraction sockets of periodontally compromised teeth? A randomized controlled trial,compromised socket; periodontitis; ridge dimension; ridge preservation; tooth extraction,2021
Periodontitis is associated with cardiovascular diseases: A 13-year study,cardiovascular disease; periodontitis; prospective study,2021
Is periodontal disease a risk indicator for colorectal cancer? A systematic review and meta-analysis,cohort; colorectal cancer; meta-analysis; periodontal disease; risk factors,2021
Treatment of stage I-III periodontitis-The EFP S3 level clinical practice guideline,,2021
Effect of compliance during periodontal maintenance therapy on c-reactive protein levels: a 6-year follow-up,compliance; C-reactive protein; maintenance; periodontitis,2021
Screening of undiagnosed hyperglycaemia in the dental setting: The DiabetRisk study. A field trial,diabetes; periodontitis; prediabetes; prevention; screening; undiagnosed diabetes,2021
