Article Title,Author Keywords,Publication Date,Publication Year,
"Design, synthesis, and evaluation of mono-carbonyl analogues of curcumin (MCACs) as potential antioxidants against periodontitis",Antioxidants; Curcumin; Mono&#8208; carbonyl analogues of curcumin (MCACs); Nuclear factor erythroid 2&#8208; related factor 2 (Nrf2); periodontal disease,,,
TNF alpha expression by Porphyromonas gingivalis-stimulated macrophages relies on Sirt1 cleavage,Porphyromonas gingivalis; RelA; Sirt1; TNF&#945,,,
Effect of vitamin D-3 on the osteogenic differentiation of human periodontal ligament stromal cells under inflammatory conditions,mesenchymal stromal cells; osteogenesis; periodontal ligament; vitamin D,,,
Optimizing citric acid protocol to control implant-related infections: An in vitro and in situ study,citric acid; decontamination; implants; peri&#8208; implantitis,,,
LncRNA DCST1-AS1 inhibits PDLCs' proliferation in periodontitis and may bind with miR-21 precursor to upregulate PLAP-1,DCST1&#8208; AS1; miR&#8208; 21; periodontal ligament cells; periodontitis; PLAP&#8208; 1,,,
Survival rate and potential risk indicators of implant loss in non-smokers and systemically healthy periodontitis patients: An up to 9-year retrospective study,dental implant; periodontitis; risk indicator; survival rate,,,
Ingestion of Porphyromonas gingivalis exacerbates colitis via intestinal epithelial barrier disruption in mice,intestinal epithelial cells; Porphyromonas gingivalis; tight junction proteins,,,
"Proteoglycans in the periodontium: A review with emphasis on specific distributions, functions, and potential applications",distributions; functions; glycosaminoglycans; mechanics; periodontium; proteoglycans,,,
"Effects of smoking on the gingival crevicular fluid levels of interleukin-17A, interleukin-17E, and oxidative stress following periodontal treatment process",IL-17A; IL-17E; periodontal disease; periodontal treatment/therapy; smoking; total anti-oxidant capacity; total oxidative stress,,,
The role of CRISPR-Cas in advancing precision periodontics,Cas9; CRISPR; periodontal disease; precision periodontics,,,
ODAM promotes junctional epithelium-related gene expression via activation of WNT1 signaling pathway in an ameloblast-like cell line ALC,ameloblast; junctional epithelium; ODAM; WNT1,,,
Antioxidants protect against gingival overgrowth induced by cyclosporine A,antioxidant; cyclosporine A; gingival overgrowth; reactive oxygen species; TGF-beta 1; type II epithelial and mesenchymal transition,,,
Metagenomic sequencing provides new insights into the subgingival bacteriome and aetiopathology of periodontitis,bacteriome; bioinformatics; dysbiosis; microbiology; microbiota; periodontitis,,,
IFN-gamma or IL-4 polarization impacts the response of gingival fibroblasts to oral bacteria,chemokines; fibroblast; Fusobacterium nucleatum; imflammatory mediator; innate immunology; Porphyromonas gingivalis,,,
Activated KCNQ1 channel promotes fibrogenic response in hereditary gingival fibromatosis via clustering and activation of Ras,extracellular matrix; fibrosis; gingival overgrowth; ion channel; Ras,,,
Association between periodontitis and the Mediterranean diet in young Moroccan individuals,cross&#8208; sectional study; diet; epidemiology; periodontal diseases,,,
Porphyromonas gingivalis facilitated the foam cell formation via lysosomal integral membrane protein 2 (LIMP2),atherosclerosis; lysosomal integral membrane protein 2; P. gingivalis; periodontitis,,,
A population-based cross-sectional study of the association between periodontitis and arterial stiffness among the older Japanese population,aged; atherosclerosis; epidemiology; periodontal diseases,,,
Association between TNF-alpha G-308A (rs1800629) polymorphism and susceptibility to chronic periodontitis and type 2 diabetes mellitus: A meta-analysis,chronic periodontitis; meta&#8208; analysis; tumor necrosis factor&#8208; &#945; (TNF&#8208; &#945; ); type 2 diabetes mellitus,,,
Association of probable bruxism with periodontal status: A cross-sectional study in patients seeking periodontal care,periodontal disease; periodontal status; periodontitis; probable bruxism; risk factor,,,
The role of strontium ranelate and guided bone regeneration in osteoporotic and healthy conditions,guided bone regeneration; osteoporosis; rats; strontium ranelate,,,
Hydrophilic titanium surface modulates early stages of osseointegration in osteoporosis,dental implant; gene expression; osseointegration; osteoporosis; surface treatment,,,
Oral microbiota and atherothrombotic carotid plaque vulnerability in periodontitis patients. A cross-sectional study,atherothrombosis; carotid microbiome; neutrophils; next&#8208; generation sequencing; oral microbiota; periodontitis,,,
Remnant oral biofilm and microorganisms after autoclaving sterilization of retrieved healing abutments,biofilm; disinfection; healing abutment; sterilization,,,
MiR-153-3p inhibits osteogenic differentiation of periodontal ligament stem cells through KDM6A-induced demethylation of H3K27me3,KDM6A; miR&#8208; 153&#8208; 3p; osteogenic differentiation; PDLSCs,,,
Gingival overgrowth induced by anticonvulsant drugs: A cross-sectional study on epileptic patients,epilepsy; gingival hyperplasia; oral health; periodontal diseases,,,
Effects of combined use of recombinant human fibroblast growth factor-2 and beta-tricalcium phosphate on ridge preservation in dehiscence bone defects after tooth extraction: A split-mouth study in dogs,beagle dog; beta&#8208; tricalcium phosphate; rhFGF&#8208; 2; ridge preservation,,,
Periodontal inflammation triggers a site-specific and wide radius of calcium metabolic effects on alveolar bone,animal study; bone remodeling; calcium metabolism; periodontitis,,,
Adjunctive systemic antimicrobials in the treatment of chronic periodontitis: A systematic review and network meta-analysis,anti&#8208; infective agents; chronic periodontitis; network meta&#8208; analysis; root planing; systematic review,,,
Low association between bleeding on probing propensity and the salivary aMMP-8 levels in adolescents with gingivitis and stage I periodontitis,adolescent; diagnosis; gingival bleeding on probing; periodontitis,,,
Mechanisms involved in regulation of periodontal ligament cell production of pro-inflammatory cytokines: Implications in periodontitis,inflammation; innate immunity; NF&#8208; &#954; B; periodontitis,,,
Renal alterations caused by ligature-induced periodontitis persist after ligature removal in rats,inflammation; kidney; periodontal disease; periodontal medicine,,,
microRNAs in inflammatory alveolar bone defect: A review,bone resorption; inflammation; microRNA; peri&#8208; implantitis; periodontitis,,,
"RETRACTION: Role of toll-like receptor 2 in inflammation and alveolar bone loss in experimental peri-implantitis versus periodontitis (Retraction of Vol 53, Pg 98, 2017)",,JAN,2021,
Autophagy and its significance in periodontal disease,alveolar bone resorption; autophagy; inflammation; periodontal disease; periodontal pathogens; the immune response,JAN,2021,
High-mobility group box 1 released by traumatic occlusion accelerates bone resorption in the root furcation area in mice,bone resorption; high&#8208; mobility group box 1; osteocyte; traumatic occlusion,JAN,2021,
Comparative proteomic analysis of dental cementum from deciduous and permanent teeth,deciduous teeth; immunohistochemistry; periodontal tissues; permanent teeth; proteomics; root cementum,JAN,2021,
Treatment with functionalized designer self-assembling peptide hydrogels promotes healing of experimental periodontal defects,angiogenesis; cell proliferation; functionalized motif; periodontal defect; self-assembling peptide,JAN,2021,
Development of an in vitro model of the dentogingival junction using 3D organotypic constructs,epithelial-mesenchymal interactions; periodontal,JAN,2021,
Mutual promotions between periodontitis and vascular calcification by rat animal model,animal model; inflammatory cytokines; periodontitis; vascular calcification,DEC,2020,
A systematic review on bacterial community changes after periodontal therapy with and without systemic antibiotics: An analysis with a wider lens,antibiotics; microbiology; non-surgical periodontal therapy; periodontal microbiota; systematic review; meta-analysis,DEC,2020,
"Effect of resveratrol on the progression of experimental periodontitis in an ovariectomized rat model of osteoporosis: Morphometric, immune-enzymatic, and gene expression analysis",alveolar bone loss; anti-inflammatory; estrogen deficiency; inflammation; periodontitis; resveratrol; zoledronic acid,DEC,2020,
Periodontal disease and quality of life: Umbrella review of systematic reviews,gingivitis; health-related quality of life; oral health-related quality of life; periodontal disease; periodontitis,JAN,2021,
Cellular ageing of oral fibroblasts differentially modulates extracellular matrix organization,ageing; extracellular matrix; fibroblasts; second harmonic generation imaging; senescence,JAN,2021,
Melatonin is an effective protector of gingival cells damaged by the cytotoxic effect of glutamate and DL-buthionine sulfoximine,cellular damage model; gingival cell culture; melatonin; periodontal disease,JAN,2021,
"The effect of a behavioural management tool in adults with mild to moderate periodontitis. A single-blind, randomized controlled trial",behavioural management; dental hygiene; oral health; periodontitis,JAN,2021,
Interaction between and impact of IL-6 genotype and alpha-tocopherol levels on periodontal condition in aging individuals,epidemiology; IL-6genotype; periodontal condition; serum alpha-tocopherol levels,JAN,2021,
Caspase inhibitor attenuates the shape changes in the alveolar ridge following tooth extraction: A pilot study in rats,atrophy; buccal bone; caspase inhibitor; osteocytes; resorption; ridge preservation; socket preservation; tooth extraction,JAN,2021,
