Article Title,Author Keywords,Publication Year
A bibliometric analysis of periodontology,,2021
Microbiomics: Were we all wrong before?,genomics; metagenomics; metaproteomics; metatranscriptomics; microbiomics; oral microbiome; periodontal medicine; sequencing,2021
Probing periodontal microbial dark matter using metataxonomics and metagenomics,16S sequencing; DNA sequencing; metagenomics; metataxonomics; periodontal microbiology; phylogenetics,2021
Metatranscriptomic analyses of the oral microbiome,caries; disease progression; metagenome; metatranscriptome; periodontal diseases,2021
Metaproteome and metabolome of oral microbial communities,,2021
"Subgingival fungi, Archaea, and viruses under the omics loupe",,2021
The evolutionary history of the human oral microbiota and its implications for modern health,evolution; health; Industrialization; Neanderthal; oral microbiome; oral microbiota,2021
Omics and interspecies interaction,interspecies interaction; metagenomics; oral biofilms; proteomics; transcriptomics,2021
Environmental factors and periodontal microbiome,dysbiosis; ecology; microbiome; periodontal diseases; psychological stress; tobacco,2021
Impact of systemic factors in shaping the periodontal microbiome,autoimmunity; diabetes mellitus; genetics; human microbiome; inflammation; periodontitis,2021
Periodontal health and disease: The contribution of genetics,epigenetics; genetic variation; microbiology; periodontitis; periodontal disease; single nucleotide polymorphism,2021
Did Omics change periodontal therapy?,,2021
"Optimizing the quality of clinical studies on oral microbiome: A practical guide for planning, performing, and reporting",16S rDNA amplicon sequencing; clinical study design; dental plaque; metadata; microbiome; saliva,2021
"Life-threatening pathogens in severe/progressive periodontitis: Focal infection risk, future periodontal practice, role of the Periodontology 2000",,2020
The prevention of periodontal disease-An overview,,2020
Current understanding of periodontal disease pathogenesis and targets for host-modulation therapy,complement; cytokines; dysbiosis; inflammation; inhibitors; host modulation; periodontitis; resolution; therapeutics,2020
Contemporary practices for mechanical oral hygiene to prevent periodontal disease,dental plaque; floss; gingivitis; interdental; oral irrigator; toothbrush; woodsticks,2020
Periodontitis is an inflammatory disease of oxidative stress: We should treat it that way,Periodontitis; oxidative stress; ROS; resveratrol; antioxidant therapy,2020
Prevention and management of periodontal diseases and dental caries in the older adults,older adults; oral health policy; periodontal; prevention,2020
"Interventions to prevent periodontal disease in tobacco-, alcohol-, and drug-dependent individuals",alcohol; electronic nicotine delivery systems; marijuana; periodontal diseases; prevention; substance abuse; tobacco,2020
Novel natural product-based oral topical rinses and toothpastes to prevent periodontal diseases,dentifrices; mouthwashes; periodontal diseases; periodontitis; toothpastes,2020
What periodontal recall interval is supported by evidence?,dental plaque; dental scaling; periodontal attachment loss; periodontitis; tooth loss,2020
Overcoming behavioral obstacles to prevent periodontal disease: Behavioral change techniques and self-performed periodontal infection control,behavior change intervention; motivation; motivational interviewing; oral hygiene; periodontitis,2020
Breaking the wave of peri-implantitis,dental implants; dental Plaque; inflammation; occlusion; peri-implantitis,2020
Biological strategies for the prevention of periodontal disease: Probiotics and vaccines,periodontal disease; probiotics; vaccines,2020
Sustained-release delivery of antimicrobial drugs for the treatment of periodontal diseases: Fantasy or already reality?,biofilm; local sustained release delivery systmes; periodontal diseases,2020
Implementation science and periodontal practice: Translation of evidence into periodontology,dissemination and implementation; evidence-based dentistry; implementation science; knowledge translation; translational research,2020
A public health approach for prevention of periodontal disease,,2020
Clinical and public health implications of periodontal and systemic diseases: An overview,cardiovascular diseases; chronic non-communicable diseases; diabetes; intervention studies; periodontal diseases,2020
The role of the microbiota in periodontal disease,periodontal microbiota; dysbiosis; inflammatory response; gingivitis; destructive periodontal disease,2020
The role of inflammation and genetics in periodontal disease,periodontitis; inflammation; genetics; cardiovascular disease; pleiotropy; microbial ecology,2020
Diabetes as a potential risk for periodontitis: association studies,,2020
Diabetes as a risk factor for periodontal disease-plausible mechanisms,biological mechanism; diabetes; periodontal medicie,2020
"Effects of periodontal disease on glycemic control, complications, and incidence of diabetes mellitus",,2020
Periodontal diseases and association with atherosclerotic disease,,2020
Mechanisms underlying the association between periodontitis and atherosclerotic disease,,2020
Periodontal therapy and cardiovascular risk,,2020
The association of periodontal diseases with metabolic syndrome and obesity,cardiovascular disease; dyslipidemia; dysglycemia; hypertension; metabolic syndrome; obesity; periodontitis,2020
Periodontal disease and adverse pregnancy outcomes,,2020
Periodontal diseases and adverse pregnancy outcomes: Mechanisms,adverse pregnancy outcomes; fusobacterium nucleatum; mechanisms; pathogenesis; periodontitis,2020
Periodontitis and rheumatoid arthritis: An update 2012-2017,,2020
Periodontal disease and cancer: Epidemiologic studies and possible mechanisms,cancer risk; epidemiology; inflammation; missing teeth; periodontal disease; tooth loss,2020
Oral-lung microbiome interactions in lung diseases,asthma; chronic obstructive pulmonary disease; cystic fibrosis; microbiome; periodontitis; pneumonia,2020
Periodontal disease as a possible cause for Alzheimer's disease,,2020
Primer on etiology and treatment of progressive/severe periodontitis: A systemic health perspective,anti-infective treatment; herpesviruses; periodontopathic bacteria; severe periodontitis; systemic diseases,2020
Patient-based outcomes and quality of life,oral health; patient-based outcomes; quality of life,2020
Periodontics in the USA: An introduction,,2020
A bibliometric analysis of Periodontology 2000,,2020
"A brief history of periodontics in the United States of America: Pioneers and thought-leaders of the past, and current challenges",,2020
Microbial biogeography and ecology of the mouth and implications for periodontal diseases,,2020
Herpesvirus-bacteria synergistic interaction in periodontitis,,2020
Current trends and new developments in HIV research and periodontal diseases,,2020
New developments in neutrophil biology and periodontitis,,2020
Role of inflammasomesin the pathogenesis of periodontal disease and therapeutics,,2020
"Host-microbe interactions: Profiles in the transcriptome, the proteome, and the metabolome",,2020
Periodontal inflammation: Integrating genes and dysbiosis,,2020
Genomics of periodontal disease and tooth morbidity,,2020
Epigenetic reprogramming in periodontal disease: Dynamic crosstalk with potential impact in oncogenesis,,2020
"Probiotics, including nisin-based probiotics, improve clinical and microbial outcomes relevant to oral and systemic diseases",,2020
Periodontal therapeutics: Current host-modulation agents and future directions,,2020
Understanding resolution of inflammation in periodontal diseases: Is chronic inflammatory periodontitis a failure to resolve?,,2020
The impact of diabetes on periodontal diseases,,2020
Advances in implant therapy in North America: Improved outcomes and application in the compromised dentition,,2020
Biomechanical pathways of dentoalveolar fibrous joints in health and disease,,2020
Recent epidemiologic trends in periodontitis in the USA,,2020
Advances in precision oral health,,2020
Concepts for prevention of complications in implant therapy,complications; dental implants; implant therapy,2019
Minimizing risk of bias in clinical implant research study design,,2019
Biofilm as a risk factor in implant treatment,,2019
