序号,关键词,频次
1,研究,137
2,机制,115
3,作用,84
4,调控,59
5,牙周炎,59
6,牙龈,38
7,干细胞,36
8,卟,33
9,啉,33
10,单胞菌,33
11,牙周膜,29
12,细胞,28
13,再生,25
14,牙周,24
15,牙周组织,22
16,环境,22
17,口腔,22
18,信号,22
19,诱导,21
20,介导,21
21,炎症,21
22,影响,20
23,通路,18
24,分化,18
25,分子,17
26,相关,16
27,免疫,15
28,慢性,14
29,微,13
30,基因,12
31,成骨,11
32,扁平苔藓,11
33,IL,11
34,巨噬细胞,11
35,修复,10
36,功能,10
37,组织,10
38,β,10
39,缺损,9
40,自噬,9
41,骨,9
42,发展,9
43,发生,9
44,糖尿病,9
45,蛋白,8
46,炎性,8
47,表达,8
48,发病,8
49, ,8
50,miR,7
51,实验,7
52,蛋白酶,7
53,B,7
54,促,7
55,牙槽骨,7
56,致病,7
57,破坏,7
58,牙周病,6
59,硬化,6
60,性,6
61,α,6
62,脂,6
63,NF,6
64,多糖,6
65,粥样,6
66,血管,6
67,动脉,6
68,Th17,6
69,小鼠,5
70,间,5
71,受体,5
72,内质网,5
73,κ,5
74,调节,5
75,17,5
76,抑制,5
77,应激,5
78,途径,5
79,T,5
80,相关性,5
81,过程,5
82,伴,5
83,增殖,5
84,充质,5
85,骨髓,5
86,吸收,5
87,能力,5
88,微生物,4
89,杆菌,4
90,外泌体,4
91,155,4
92,破,4
93,因子,4
94,机理,4
95,线粒体,4
96,纳米,4
97,损伤,4
98,上皮细胞,4
99,代谢,4
100,状态,4
101,素,4
102,lncRNA,4
103,转化,4
104,防御,4
105,Treg,4
106,成,4
107,耐受,4
108,牙龈上皮,4
109,效应,4
110,HIF,4
111,骨细胞,4
112,低氧,4
113,活性,4
114,白斑,4
115,菌,3
116,超声,3
117,C,3
118,牙菌斑,3
119,样,3
120,TLR4,3
121,生成,3
122,RNA,3
123,型,3
124,调节性,3
125,侵袭,3
126,精氨酸,3
127,凝胶,3
128,纤维细胞,3
129,水,3
130,免疫调节,3
131,肥胖,3
132,生物膜,3
133,血小板,3
134,功能障碍,3
135,病毒,3
136,缓释,3
137,宿主,3
138,低,3
139,VEGF,3
140,凋亡,3
141,加重,3
142,肺,3
143,BMP2,3
144,异常,3
145,放线,3
146,组蛋白,3
147,内皮细胞,3
148,感染,3
149,协同,3
150,Wnt,3
151,依赖,3
152,活化,3
153,探讨,3
154,生物,3
155,疾病,3
156,干预,2
157,失衡,2
158,参与,2
159,抵抗,2
160,黏膜,2
161,打印,2
162,群落,2
163,来源,2
164,FasL,2
165,状,2
166,念珠菌,2
167,内毒素,2
168,高糖,2
169,乙酰,2
170,大鼠,2
171,轴,2
172,活动性,2
173,病原菌,2
174,氧化应激,2
175,抑制剂,2
176,具核,2
177,MORF,2
178,移植,2
179,梭,2
180,防治,2
181,保护,2
182,环境影响,2
183,表观,2
184,PHD2,2
185,支架,2
186,S,2
187,筛选,2
188,核心,2
189,生物学,2
190,滞留,2
191,阻塞性,2
192,+,2
193,技术,2
194,BMAL1,2
195,羟基,2
196,PERK,2
197,效果,2
198,耐药,2
199,交互作用,2
200,癌变,2
201,(,2
202,胰岛素,2
203,SDF,2
204,.,2
205,Fas,2
206,分析,2
207,NLRP3,2
208,脂质,2
209,树突,2
210,平衡,2
211,MMPs,2
212,II,2
213,进程,2
214,壳聚糖,2
215,病,2
216,遗传,2
217,重组,2
218,nAChR,2
219,内化,2
220,脉冲,2
221,沉默,2
222,酶,2
223,关系,2
224,相互作用,2
225,改善,2
226,转移酶,2
227,A,2
228,激活,2
229,吸烟,2
230,抗炎,2
231,治疗,2
232,EMMPRIN,2
233,导致,2
234,PI3K,2
235,MSCs,2
236,雌激素,2
237,BMSCs,2
238,）,2
239,序贯,2
240,血凝素,2
241,强度,2
242,双,2
243,载,2
244,PDLSCs,2
245,致病菌,2
246,网络,2
247,代谢物,2
248,DNA,2
249,基因修饰,2
250,K,2
251,分泌,2
252,磷灰石,2
253,早产,2
254,诊断,2
255,模型,2
256,亚群,2
257,生长因子,2
258,应答,2
259,NOD,2
260,双向,2
261,Yap,1
262,牙囊,1
263,35,1
264,体,1
265,群对,1
266,EPS,1
267,BMP1,1
268,骨质,1
269,集成,1
270,位点,1
271,WDFY4,1
272,铁蛋白,1
273,中促,1
274,Toll,1
275,hnRNP,1
276,巯基,1
277,蛋白酶体,1
278,抗体,1
279,TLR9,1
280,二甲,1
281,关联,1
282,降解,1
283,Smad6,1
284,表现型,1
285,疏松,1
286,黄连素,1
287,可变,1
288,实验性,1
289,visfatin,1
290,上皮,1
291,肝细胞,1
292,路径,1
293,—,1
294,精准,1
295,白假丝,1
296,偏移,1
297,Plectin,1
298,免疫学,1
299,CD147,1
300,细胞周期,1
301,Th,1
302,纯化,1
303,RIP3,1
304,持续,1
305,IRS,1
306,抑制性,1
307,Nrf2,1
308,非,1
309,肠道,1
310,缺陷,1
311,Mof,1
312,聚己,1
313,CCL18,1
314,ILC2s,1
315,bFGF,1
316,面部,1
317,Foxp3,1
318,内酯,1
319,肉芽肿,1
320,整合素,1
321,釉原,1
322,炎,1
323,系统,1
324,缺氧,1
325,口服,1
326,构建,1
327,金属,1
328,生化,1
329,早期,1
330,NELL,1
331,CEMP1,1
332,味觉,1
333,组对,1
334,样前体,1
335,MicroRNA,1
336,生长发育,1
337,catenin,1
338,MAPK,1
339,电化学,1
340,Β,1
341,M1,1
342,经典,1
343,COPD,1
344,通讯,1
345,15d,1
346,口,1
347,钙,1
348,死亡,1
349,槟榔,1
350,种植体,1
351,Pyroptosis,1
352,粒细胞,1
353,传导,1
354,潜能,1
355,演变,1
356,P,1
357,AKT,1
358,传感,1
359,高血压,1
360,建立,1
361,01126,1
362,体重儿,1
363,轻重,1
364,生物钟,1
365,剪切,1
366,胃癌,1
367,网络系统,1
368,初探,1
369,调节作用,1
370,降钙素,1
371,趋化因子,1
372,氟磷灰石,1
373,条件,1
374,Th22,1
375,23,1
376,SOCS,1
377,p38,1
378,FoxO1,1
379,参与者,1
380,PGJ2,1
381,水平,1
382,传递,1
383,M2,1
384,周,1
385,天冬氨酸,1
386,21,1
387,失稳,1
388,干扰,1
389,PGRN,1
390,复合膜,1
391,裂解,1
392,模拟,1
393,TGF,1
394,马氏,1
395,过氧化氢,1
396,”,1
397,联合,1
398,吲哚,1
399,31,1
400,菌群,1
401,数值,1
402,microRNA,1
403,亲环素,1
404,性骨,1
405,双面,1
406,温敏型,1
407,成骨细胞,1
408,低密度,1
409,佐剂,1
410,结构,1
411,硅酸钙,1
412,MFN2,1
413,干性,1
414,TLL1,1
415,循环,1
416,增生,1
417,金,1
418,RECK,1
419,胍,1
420,白色,1
421,度,1
422,CD11c,1
423,对白,1
424,新型,1
425,信息,1
426,circ,1
427,10,1
428,中性,1
429,iTr35,1
430,差异,1
431,泛素,1
432,验证,1
433,注射,1
434,纤维,1
435,NLRC4,1
436,LPS,1
437,FGF2,1
438,Gasdermin,1
439,增强,1
440,羧酸,1
441,相互影响,1
442,ApoE,1
443,高脂血症,1
444,30a,1
445,骨化,1
446,淀粉,1
447,B10,1
448,固有,1
449,上调,1
450,三醇,1
451,类,1
452,体内,1
453,素对,1
454,表相,1
455,STING,1
456,：,1
457,’,1
458,D,1
459,Bmal1,1
460,工程,1
461,敲除,1
462,SHED,1
463,多肽,1
464,NLRP6,1
465,扁平,1
466,蛋白质,1
467,老龄化,1
468,mTOR,1
469,环孢素,1
470,persisters,1
471,纤维化,1
472,特性,1
473,BAFF,1
474,Exosome,1
475,挖掘,1
476,e2f1,1
477,进展,1
478,STAT3,1
479,IGF,1
480,复合材料,1
481,苔鲜,1
482,抗菌,1
483,芯片,1
484,Akt,1
485,烟草,1
486,OVX,1
487,浓缩,1
488,串话,1
489,椅旁,1
490,基因组学,1
491,表型,1
492,环状,1
493,内皮,1
494,CD63,1
495,膜片,1
496,性反应,1
497,STAT1,1
498,心理,1
499,募集,1
500,提升,1
501,ceRNA,1
502,Aspirin,1
503,评价,1
504,氧化,1
505,RANK,1
506,APS,1
507,Del,1
508,、,1
509,可塑性,1
510,晶体,1
511,FOXO3,1
512,7a,1
513,尼古丁,1
514,Klotho,1
515,肽,1
516,基质,1
517,AMPK,1
518,血,1
519,链球菌,1
520,糖耐量,1
521,ciRS,1
522,FomA,1
523,37,1
524,MLKL,1
525,LP,1
526,持久,1
527,患者,1
528,PDCD4,1
529,复合,1
530,Drp1,1
531,CD62P,1
532,平滑肌,1
533,动力,1
534,微泡,1
535,FLI1,1
536,c,1
537,相互,1
538,‘,1
539,LL,1
540,病中,1
541,能量代谢,1
542,活性氧,1
543,细菌学,1
544,组学,1
545,（,1
546,吸入,1
547,反馈,1
548,释放,1
549,衰老,1
550,Prx1,1
551,移植物,1
552,碳点,1
553,力,1
554,Notch1,1
555,g,1
556,LIPUS,1
557,偶联,1
558,级联,1
559,副,1
560,清除,1
561,诱导性,1
562,A20,1
563,单核细胞,1
564,SPP,1
565,TLR,1
566,Pyk2,1
567,传感器,1
568,屏障,1
569,抗生素,1
570,下调,1
571,MHC,1
572,Caspase,1
573,KRT,1
574,聚乳酸,1
