Article Title,Author Keywords,Publication Date,Publication Year,
Antibiotic prescribing at a periodontal residency practice in Connecticut,antimicrobial(s); non-surgical periodontal therapy; periodontal medicine,,,
Inflammation of the periodontium associates with risk of future cardiovascular events,atherosclerosis; cardiovascular disease; &#160; periodontal disease; positron emission tomography,,,
Effects of hyaluronic acid and deproteinized bovine bone mineral with 10% collagen for ridge preservation in compromised extraction sockets,alveolar bone grafting; bone regeneration; growth factors; hyaluronic acid; tooth extraction; tooth socket,,,
Recombinant thrombomodulin lectin-like domain attenuates porphyromonas gingivalis lipopolysaccharide-induced osteoclastogenesis and periodontal bone resorption,alveolar bone loss; lipopolysaccharides; macrophage activation; osteoclastogenesis; porphyromonas gingivalis; thrombomodulin,,,
Subgingival microbiota in overweight and obese young adults with no destructive periodontal disease,obesity; overweight; periodontal disease; periodontal pathogen; Porphyromonas gingivalis,,,
"Evaluating efficacy of a novel dentifrice in reducing probing depths in stage I and II periodontitis maintenance patients: A randomized, double-blind, positive controlled clinical trial",anti-inflammatory agents; oral hygiene; periodontitis; plaque control; tooth brushing,,,
Natural progression of periodontal diseases in Chinese villagers based on the 2018 classification,extent; grade; natural progression; new classification; periodontal disease; stage,,,
BMP4 micro-immunotherapy increases collagen deposition and reduces PGE2 release in human gingival fibroblasts and increases tissue viability of engineered 3D gingiva under inflammatory conditions,bone morphogenetic protein 4; gingiva; in vitro technique; periodontitis; bone morphogenetic protein 2,,,
Effect of individual and neighborhood social capital on gingival bleeding in children: A 7-year cohort study,children; gingival bleeding; longitudinal study; social capital,,,
Facial mucosal level of single immediately placed implants with either immediate provisionalization or delayed restoration: An intermediate-term study,cone-beam computed tomography; dental implants; esthetics; prostheses and implants; ultrasonography,,,
Association between intracranial carotid artery calcifications and periodontitis. Cone-beam computed tomography (CBCT) study,cardiovascular disease(s); imaging; periodontitis; radiology,,,
Validation of the Hospital Anxiety and Depression Scale and the Perceived Stress Scale and psychological features in patients with periodontitis,anxiety; depression; periodontitis; stress,,,
Clustering by periodontitis-associated factors-A novel application to NHANES data,chronic periodontitis; cluster analysis; dental health surveys; knowledge discovery; patient reported outcome measures,,,
Methods to mitigate infection spread from aerosol-generating dental procedures,Aerosol; Occupational safety; Microbiology; Evidence-based dentistry; Infection control; Practice management,,,
Individual predisposition and the intricate interplay between systemic biomarkers and periodontal risk in a general population,age factors; biomarkers; follow-up study; periodontitis; population; tooth loss,,,
The effects of a novel non-invasive application of platelet-rich fibrin on periodontal clinical parameters and gingival crevicular fluid transforming growth factor-beta and collagen-1 levels: A randomized controlled clinical study,collagen-type1; gingival crevicular fluid; platelet-rich fibrin; regeneration; root planing; transforming growth factor beta,,,
"MicroRNA-146a and-155, upregulated by periodontitis and type 2 diabetes in oral fluids, are predicted to regulate SARS-CoV-2 oral receptors genes",microRNAs; periodontitis; SARS-CoV-2; type 2 diabetes,,,
Periodontal regenerative therapy in patients with type 2 diabetes using minimally invasive surgical technique with enamel matrix derivative under 3-year observation: A prospective cohort study,diabetes mellitus; enamel matrix protein; periodontal regeneration; periodontitis,,,
"Randomized, controlled clinical trial to evaluate a xenogeneic collagen matrix as an alternative to free gingival grafting for oral soft tissue augmentation: 6 to 8 year follow-up",autografts; collagen; esthetics; gingiva transplantation; gingival recession; personal satisfaction,,,
Periodontal and caries status in unexplained female infertility: A case-control study,dental caries; oral health status; periodontitis; unexplained female infertility,,,
Salivary and serum oxidative stress biomarkers and advanced glycation end products in periodontitis patients with or without diabetes: A cross-sectional study,4-hydroxy-2-nonenal; 8-hydroxy-2-deoxyguanosine; diabetes mellitus; oxidative stress; periodontitis; type 2,,,
"Salivary and serum concentrations of monocyte chemoattractant protein-1, macrophage inhibitory factor, and fractalkine in relation to rheumatoid arthritis and periodontitis",inflammation; innate immunity; periodontitis; saliva,,,
Prevalence and risk indicators of peri-implant diseases in a group of Moroccan patients,dental implants; diabetes mellitus; follow-up studies; inflammation; peri-implantitis; periodontitis; prevalence; tobacco smoking,,,
Impact of a change in classification criteria on the prevalence of peri-implantitis: A cross-sectional analysis,cross-sectional studies; dental implants; mucositis; peri-implantitis; prevalence; risk factors,,,
Chemerin/ChemR23 regulates cementoblast function and tooth resorption in mice via inflammatory factors,cementum; cytokine(s); gene regulation; inflammation and innate immunity,,,
Association of hyaluronic acid with a deproteinized bovine graft improves bone repair and increases bone formation in critical-size bone defects,animal experimentation; biomarkers; bone regeneration; bone transplantation; bone,,,
Microstructural volumetric analysis of the jaw following dental implantation under systemic bisphosphonate delivery: An in vivo and ex vivo rat study,dental implants; necrosis; titanium; X-ray microtomography; zirconium oxide,,,
Data visualization of the relationship between smoking and periodontal site-specific effects across the lifespan in the US adult population,data visualization; epidemiology; graphics; periodontitis; smoking,,,
Accuracy study of the clinical diagnosis of periodontitis in pregnant females,diagnosis; epidemiology; periodontitis; pregnancy,,,
Factors influencing the prevalence of peri-implantitis in implants inserted in augmented maxillary sinuses: A multicenter cross-sectional study,bone graft(s); implantology; maxillary sinus augmentation; osseointegration; peri-implantitis,,,
Anti-biofilm effect of ozonized physiological saline solution on peri-implant-related biofilm,biofilm; Fusobacterium nucleatum; ozono therapy; peri-implantitis; Porphyromonas gingivalis; Streptococcus oralis,,,
Balint Orban Memorial Program Abstracts,,DEC,2020,
